ecg,emg_cheekbone,ksr,emg_nose,pulse
2.47058821,2.47058821,2.47058821,2.86274505,1.72549021
2.72549009,2.72549009,2.72549009,2.86274505,1.74509799
3.0,3.0,3.0,2.70588231,1.74509799
3.07843137,3.07843137,3.07843137,2.58823538,1.80392158
2.90196085,2.90196085,2.90196085,2.68627453,1.7647059
2.66666675,2.66666675,2.66666675,2.78431368,1.78431368
2.64705873,2.64705873,2.64705873,2.9607842,1.80392158
2.64705873,2.64705873,2.64705873,2.92156863,1.80392158
2.82352948,2.82352948,2.82352948,2.66666675,1.78431368
2.98039222,2.98039222,2.98039222,2.56862736,1.82352936
2.84313726,2.84313726,2.84313726,2.68627453,1.78431368
2.64705873,2.64705873,2.64705873,2.78431368,1.74509799
2.58823538,2.58823538,2.58823538,2.92156863,1.68627453
2.56862736,2.56862736,2.56862736,2.86274505,1.62745094
2.72549009,2.72549009,2.72549009,2.7647059,1.56862748
2.88235283,2.88235283,2.88235283,2.56862736,1.54901958
3.01960778,3.01960778,3.01960778,2.56862736,1.45098042
2.84313726,2.84313726,2.84313726,2.70588231,1.35294116
2.58823538,2.58823538,2.58823538,2.84313726,1.25490201
2.43137264,2.43137264,2.43137264,2.84313726,1.15686274
2.58823538,2.58823538,2.58823538,2.82352948,1.07843137
2.82352948,2.82352948,2.82352948,2.74509811,1.0196079
2.86274505,2.86274505,2.86274505,2.66666675,0.94117647
2.64705873,2.64705873,2.64705873,2.74509811,0.88235295
2.58823538,2.58823538,2.58823538,2.78431368,0.84313726
2.43137264,2.43137264,2.43137264,2.84313726,0.78431374
2.49019599,2.49019599,2.49019599,2.80392146,0.68627453
2.74509811,2.74509811,2.74509811,2.66666675,0.54901963
3.0,3.0,3.0,2.45098042,0.43137255
2.88235283,2.88235283,2.88235283,2.39215684,0.29411766
2.84313726,2.84313726,2.84313726,2.43137264,0.21568628
2.50980401,2.50980401,2.50980401,2.52941179,0.13725491
2.33333325,2.33333325,2.33333325,2.58823538,0.09803922
2.64705873,2.64705873,2.64705873,2.49019599,0.05882353
2.78431368,2.78431368,2.78431368,2.37254906,0.03921569
2.82352948,2.82352948,2.82352948,2.17647052,0.03921569
2.49019599,2.49019599,2.49019599,2.15686274,0.01960784
2.27450991,2.27450991,2.27450991,2.21568632,0.03921569
2.2352941,2.2352941,2.2352941,2.29411769,0.05882353
2.27450991,2.27450991,2.27450991,2.2352941,0.07843138
2.52941179,2.52941179,2.52941179,2.19607854,0.13725491
2.66666675,2.66666675,2.66666675,2.0392158,0.15686275
2.72549009,2.72549009,2.72549009,1.90196073,0.21568628
2.50980401,2.50980401,2.50980401,1.94117641,0.29411766
2.35294127,2.35294127,2.35294127,2.0392158,0.35294119
2.2352941,2.2352941,2.2352941,2.15686274,0.39215687
2.66666675,2.66666675,2.66666675,2.09803915,0.47058824
2.60784316,2.60784316,2.60784316,2.0392158,0.50980395
2.45098042,2.45098042,2.45098042,1.7647059,0.56862748
2.21568632,2.21568632,2.21568632,1.86274505,0.627451
2.09803915,2.09803915,2.09803915,1.96078432,0.70588237
2.07843137,2.07843137,2.07843137,2.01960778,0.74509805
2.35294127,2.35294127,2.35294127,1.96078432,0.78431374
2.47058821,2.47058821,2.47058821,1.90196073,0.82352942
2.60784316,2.60784316,2.60784316,1.70588231,0.84313726
2.43137264,2.43137264,2.43137264,1.72549021,0.84313726
2.17647052,2.17647052,2.17647052,1.82352936,0.84313726
2.05882359,2.05882359,2.05882359,1.92156863,0.84313726
2.2352941,2.2352941,2.2352941,1.96078432,0.84313726
2.47058821,2.47058821,2.47058821,1.9803921,0.86274511
2.74509811,2.74509811,2.74509811,1.82352936,0.84313726
2.7647059,2.7647059,2.7647059,1.74509799,0.86274511
2.49019599,2.49019599,2.49019599,1.82352936,0.86274511
2.45098042,2.45098042,2.45098042,1.92156863,0.84313726
2.29411769,2.29411769,2.29411769,2.07843137,0.84313726
2.60784316,2.60784316,2.60784316,2.09803915,0.86274511
2.66666675,2.66666675,2.66666675,2.05882359,0.84313726
2.72549009,2.72549009,2.72549009,1.94117641,0.86274511
2.60784316,2.60784316,2.60784316,1.96078432,0.86274511
2.41176462,2.41176462,2.41176462,2.09803915,0.84313726
2.50980401,2.50980401,2.50980401,2.25490189,0.86274511
2.49019599,2.49019599,2.49019599,2.37254906,0.84313726
2.62745094,2.62745094,2.62745094,2.37254906,0.84313726
2.7647059,2.7647059,2.7647059,2.15686274,0.80392158
2.60784316,2.60784316,2.60784316,2.13725495,0.80392158
2.37254906,2.37254906,2.37254906,2.29411769,0.74509805
2.27450991,2.27450991,2.27450991,2.43137264,0.72549021
2.25490189,2.25490189,2.25490189,2.45098042,0.68627453
2.43137264,2.43137264,2.43137264,2.43137264,0.64705884
2.54901958,2.54901958,2.54901958,2.29411769,0.64705884
2.54901958,2.54901958,2.54901958,2.17647052,0.627451
2.29411769,2.29411769,2.29411769,2.25490189,0.58823532
2.11764717,2.11764717,2.11764717,2.31372547,0.58823532
1.72549021,1.72549021,1.72549021,2.47058821,0.58823532
1.64705884,1.64705884,1.64705884,2.45098042,0.56862748
1.64705884,1.64705884,1.64705884,2.43137264,0.54901963
1.62745094,1.62745094,1.62745094,2.25490189,0.54901963
1.52941179,1.52941179,1.52941179,2.25490189,0.54901963
1.78431368,1.78431368,1.78431368,2.37254906,0.52941179
2.05882359,2.05882359,2.05882359,2.41176462,0.54901963
2.17647052,2.17647052,2.17647052,2.39215684,0.54901963
2.54901958,2.54901958,2.54901958,2.31372547,0.52941179
